name,lat,lon
Погладь енота,55.7110435,37.6756029
None568,55.8192294,37.3318749
None569,55.8192445,37.3318307
Мемориальная квартира-музей Е.Б. Вахтангова,55.7436565,37.5879232
Лисятница,55.8387114,37.626133
Охотник,55.8387337,37.6259989
Бывшая могила Матроны Московской,55.7042441,37.609859
Христианская евангельская церковь,55.8109436,37.6550962
Музей техники Apple,55.8060829,37.5902156
Московский государственный музей С. А. Есенина (филиал),55.7266294,37.6307776
Макет Comcity,55.6351655,37.4314436
Константин Рокоссовский,55.8147241,37.7179588
Onnuri church,55.7275237,37.6088224
Joument ,55.8268964,37.4443462
Театральная галерея на Малой Ордынке,55.7387307,37.6258699
None582,55.6241745,37.8646465
Лермонтов,55.7363085,37.6098788
Ломоносов,55.7370035,37.608953
Олени,55.7372404,37.60859
Сон,55.7367449,37.6090442
Лев суздальский,55.7373354,37.6083339
Свердлов,55.7357049,37.6090802
Сталин,55.7362017,37.6087292
Аматерасу,55.7373459,37.6082159
Лев,55.7525407,37.6569365
Броненосец,55.7371678,37.6080039
Юность,55.7370743,37.6077706
Ленин,55.7359919,37.6085316
Небо,55.7370622,37.6076982
Созерцания,55.737041,37.6077625
Эрьзя,55.7364424,37.6095527
Подводный мир,55.7369353,37.6078001
Пробуждение,55.7368704,37.6071644
Мистерия,55.7367622,37.6069459
Арлекин,55.7363532,37.6063537
Торжество труда: наука и искусство,55.7331778,37.6042129
None604,55.7360208,37.6047863
None605,55.737065,37.6110113
None606,55.737087,37.6109725
None607,55.7371089,37.6109337
None608,55.7371309,37.6108949
None609,55.7371528,37.6108561
None610,55.7371748,37.6108173
None611,55.7371968,37.6107785
None612,55.7372187,37.6107398
None613,55.7372407,37.610701
None614,55.7372626,37.6106622
None615,55.7372846,37.6106234
None616,55.7373065,37.6105846
None617,55.7373285,37.6105458
None618,55.7373504,37.610507
None619,55.7365599,37.6066642
None620,55.7364738,37.6064657
Адамово яблоко,55.7364225,37.6064765
Добрый пастырь,55.7363107,37.6067983
None623,55.7368353,37.6070783
Вечером,55.7367734,37.60714
Большой мяч,55.7367719,37.6071963
Вита,55.7367115,37.6072715
Танец рыб,55.7366133,37.6074538
Наутилус,55.7366375,37.6075102
Улитка,55.7366224,37.6075906
Яблоко,55.7366994,37.6077435
Хидееси,55.7367901,37.6079099
Самурай,55.7369214,37.6081311
None633,55.7330253,37.6044484
Аргумент,55.7374592,37.6090747
Буратино,55.737364,37.6087234
Жертвоприношение,55.7374698,37.6090104
Изгнание,55.7374789,37.6091029
Любовь,55.7375272,37.6090184
Мюнхгаузен,55.7373799,37.6088494
Рождение звука,55.7375612,37.609068
Львята,55.7369221,37.6081767
Философский камень,55.7369622,37.6081685
Кормящая неродившихся,55.7369554,37.6081095
Вечер,55.7371316,37.6090197
Мать и Дитя,55.7378624,37.610224
Семья,55.737192,37.6091673
Торс,55.7335874,37.607265
Варан,55.7370204,37.6082825
Мудрец,55.7370355,37.6082409
Мишка с мячом,55.7370823,37.6084488
Прайд,55.7371827,37.6084944
Слоник,55.7371572,37.6085829
Волшебные звуки,55.7371754,37.6097305
Колыбельная гения,55.7374065,37.6100811
Менуэт,55.7373928,37.6099505
Моцарт и Сальери,55.7373958,37.6098056
Моцарт,55.7372116,37.6096742
Музыка,55.7374638,37.6097761
Посвящение Моцарту,55.7370123,37.6096849
Пушкин,55.736825,37.6094703
Репетиция оркестра,55.7371346,37.6097895
Рояль,55.7370923,37.6098459
Трон,55.7374819,37.6100041
Обнаженная,55.7367932,37.6091435
None665,55.7367691,37.6090979
